
id,en,fr,nl
Section2Unit1_60,I am stressed but I continue,Je suis stressé mais je continue,Ik ben gestrest maar ik ga door

Section2Unit1_61,She is sick today,Elle est malade aujourd’hui,Zij is vandaag ziek
Section2Unit1_62,I am sick,Je suis malade,Ik ben ziek
Section2Unit1_63,Are you sick?,Tu es malade ?,Ben je ziek?
Section2Unit1_64,He is not sick,Il n’est pas malade,Hij is niet ziek
Section2Unit1_65,I have a headache,J’ai mal à la tête,Ik heb hoofdpijn
Section2Unit1_66,I have back pain,J’ai mal au dos,Ik heb rugpijn
Section2Unit1_67,I have a stomachache,J’ai mal au ventre,Ik heb buikpijn
Section2Unit1_68,Where does it hurt?,Tu as mal où ?,Waar doet het pijn?
Section2Unit1_69,I don’t feel well,Je ne me sens pas bien,Ik voel me niet goed
Section2Unit1_70,She doesn't feel well,Elle ne se sent pas bien,Zij voelt zich niet goed
Section2Unit1_71,He feels better,Il se sent mieux,Hij voelt zich beter
Section2Unit1_72,I feel better today,Je me sens mieux aujourd’hui,Ik voel me vandaag beter
Section2Unit1_73,We are sick,Nous sommes malades,We zijn ziek
Section2Unit1_74,They are not sick,Ils ne sont pas malades,Ze zijn niet ziek
Section2Unit1_75,I have a cold,J’ai un rhume,Ik ben verkouden
Section2Unit1_76,He has a fever,Il a de la fièvre,Hij heeft koorts
Section2Unit1_77,Her eyes hurt,Elle a mal aux yeux,Haar ogen doen pijn
Section2Unit1_78,You must rest,Tu dois te reposer,Je moet rusten
Section2Unit1_79,I must see a doctor,Je dois voir un médecin,Ik moet een dokter zien
Section2Unit1_80,She must stay home,Elle doit rester à la maison,Zij moet thuis blijven

Section2Unit1_81,I am not sick today,Je ne suis pas malade aujourd’hui,Ik ben vandaag niet ziek
Section2Unit1_82,How do you feel?,Tu te sens comment ?,Hoe voel je je?
Section2Unit1_83,I feel very bad,Je me sens très mal,Ik voel me heel slecht
Section2Unit1_84,I feel a little better,Je me sens un peu mieux,Ik voel me een beetje beter
Section2Unit1_85,She feels bad this morning,Elle se sent mal ce matin,Zij voelt zich slecht vanmorgen
Section2Unit1_86,He feels good now,Il se sent bien maintenant,Hij voelt zich nu goed
Section2Unit1_87,We feel good,Nous nous sentons bien,We voelen ons goed
Section2Unit1_88,You must sleep more,Tu dois dormir plus,Je moet meer slapen
Section2Unit1_89,He must drink water,Il doit boire de l’eau,Hij moet water drinken
Section2Unit1_90,You must rest,Vous devez vous reposer,U moet rusten

Section2Unit1_91,I am happy today,Je suis content aujourd’hui,Ik ben blij vandaag
Section2Unit1_92,Are you tired tonight?,Tu es fatigué ce soir ?,Ben je vanavond moe?
Section2Unit1_93,I feel good,Je suis en forme,Ik voel me fit
Section2Unit1_94,She is in shape today,Elle est en forme aujourd’hui,Zij is vandaag fit
Section2Unit1_95,I am late because I’m tired,Je suis en retard parce que je suis fatigué,Ik ben te laat omdat ik moe ben
Section2Unit1_96,You are not in shape,Tu n’es pas en forme,Je bent niet fit
Section2Unit1_97,I feel stressed this morning,Je me sens stressé ce matin,Ik voel me gestrest vanmorgen
Section2Unit1_98,We are calm,Nous sommes calmes,Wij zijn rustig
Section2Unit1_99,They are happy today,Ils sont heureux aujourd’hui,Ze zijn vandaag gelukkig
Section2Unit1_100,I’m tired but okay,Je suis fatigué mais je vais bien,Ik ben moe maar het gaat goed

Section2Unit2_1,I'm going grocery shopping,Je vais faire les courses,Ik ga boodschappen doen
Section2Unit2_2,I'm going to the supermarket,Je vais au supermarché,Ik ga naar de supermarkt
Section2Unit2_3,I have to buy food for the cat,Je dois acheter de la nourriture pour le chat,Ik moet eten voor de kat kopen
Section2Unit2_4,I have to buy some vegetables,Je dois acheter des légumes,Ik moet groenten kopen
Section2Unit2_5,Do you want some rice?,Voulez-vous du riz ?,Wilt u wat rijst?
Section2Unit2_6,Do you want milk?,Tu veux du lait ?,Wil je melk?
Section2Unit2_7,I need eggs to make crepes,J’ai besoin d’œufs pour faire des crêpes,Ik heb eieren nodig om pannenkoeken te maken
Section2Unit2_8,I need milk for the recipe,J’ai besoin de lait pour la recette,Ik heb melk nodig voor het recept
Section2Unit2_9,I need bread,J’ai besoin de pain,Ik heb brood nodig
Section2Unit2_10,We need fruit,Nous avons besoin de fruits,We hebben fruit nodig

Section2Unit2_11,I am buying fish at the market,J’achète du poisson au marché,Ik koop vis op de markt
Section2Unit2_12,I am buying apples,J’achète des pommes,Ik koop appels
Section2Unit2_13,I am buying cheese,J’achète du fromage,Ik koop kaas
Section2Unit2_14,I am buying vegetables,J’achète des légumes,Ik koop groenten
Section2Unit2_15,I buy bread at the bakery,J’achète du pain à la boulangerie,Ik koop brood bij de bakker
Section2Unit2_16,I am buying some cereal,J’achète des céréales,Ik koop ontbijtgranen
Section2Unit2_17,I buy rice at the store,J’achète du riz au magasin,Ik koop rijst in de winkel
Section2Unit2_18,We buy fruit here,Nous achetons des fruits ici,Wij kopen hier fruit
Section2Unit2_19,They buy vegetables,Ils achètent des légumes,Ze kopen groenten
Section2Unit2_20,She buys cheese every week,Elle achète du fromage chaque semaine,Zij koopt elke week kaas

Section2Unit2_21,We don’t buy bread,Nous n’achetons pas de pain,Wij kopen geen brood
Section2Unit2_22,I don’t buy fish,Je n’achète pas de poisson,Ik koop geen vis
Section2Unit2_23,I don’t eat meat,Je ne mange pas de viande,Ik eet geen vlees
Section2Unit2_24,I eat meat,Je mange de la viande,Ik eet vlees
Section2Unit2_25,I eat eggs,Je mange des œufs,Ik eet eieren
Section2Unit2_26,I don’t eat eggs,Je ne mange pas d’œufs,Ik eet geen eieren
Section2Unit2_27,I don’t buy cereal,Je n’achète pas de céréales,Ik koop geen ontbijtgranen
Section2Unit2_28,We don’t buy fruit here,Nous n’achetons pas de fruits ici,Wij kopen hier geen fruit
Section2Unit2_29,He doesn’t eat fish,Il ne mange pas de poisson,Hij eet geen vis
Section2Unit2_30,She doesn’t eat meat,Elle ne mange pas de viande,Zij eet geen vlees

Section2Unit2_31,I am vegetarian,Je suis végétarien(ne),Ik ben vegetariër
Section2Unit2_32,I don’t eat fish,Je ne mange pas de poisson,Ik eet geen vis
Section2Unit2_33,I don’t eat meat either,Je ne mange pas de viande non plus,Ik eet ook geen vlees
Section2Unit2_34,I eat vegetables,Je mange des légumes,Ik eet groenten
Section2Unit2_35,I drink milk,Je bois du lait,Ik drink melk
Section2Unit2_36,I don’t drink milk,Je ne bois pas de lait,Ik drink geen melk
Section2Unit2_37,Do you eat eggs?,Tu manges des œufs ?,Eet jij eieren?
Section2Unit2_38,Do you drink coffee?,Tu bois du café ?,Drink jij koffie?
Section2Unit2_39,We eat bread every morning,Nous mangeons du pain chaque matin,Wij eten elke ochtend brood
Section2Unit2_40,They drink tea,Ils boivent du thé,Ze drinken thee

Section2Unit2_41,The apples are close to the cereal,La pomme est près des céréales,De appel is dicht bij de ontbijtgranen
Section2Unit2_42,The fruits are close to the vegetables,Les fruits sont près des légumes,Het fruit is dicht bij de groenten
Section2Unit2_43,The milk is next to the cheese,Le lait est près du fromage,De melk is naast de kaas
Section2Unit2_44,The rice is near the pasta,Le riz est près des pâtes,De rijst is dicht bij de pasta
Section2Unit2_45,Where are the apples?,Les pommes sont où ?,Waar zijn de appels?
Section2Unit2_46,Where are the vegetables?,Les légumes sont où ?,Waar zijn de groenten?
Section2Unit2_47,The bread is near the cheese,Le pain est près du fromage,Het brood is dicht bij de kaas
Section2Unit2_48,The eggs are near the milk,Les œufs sont près du lait,De eieren zijn dicht bij de melk
Section2Unit2_49,The cereal is next to the fruit,Les céréales sont à côté des fruits,De ontbijtgranen staan naast het fruit
Section2Unit2_50,The sugar is near the flour,Le sucre est près de la farine,De suiker is dicht bij de bloem
