id,en,fr,nl
pronoun_demo_3,That (masc),Ce…-là,Die
pronoun_demo_4,That (fem),Cette…-là,Die
pronoun_demo_5,These,Ces,Deze
pronoun_demo_6,Those,Ceux-là,Die daar
question_1,Who?,Qui ?,Wie?
question_2,What?,Quoi ? / Que ?,Wat?
question_3,Where?,Où ?,Waar?
question_4,When?,Quand ?,Wanneer?
question_5,Why?,Pourquoi ?,Waarom?
question_6,How?,Comment ?,Hoe?
question_7,How much?,Combien ?,Hoeveel?
question_8,How many?,Combien ?,Hoeveel?
question_9,Which?,Quel / Quelle ?,Welke?
question_10,What time is it?,Il est quelle heure ?,Hoe laat is het?
verb_core_1,To be,Être,Zijn
verb_core_2,To have,Avoir,Hebben
verb_core_3,To go,Aller,Gaan
verb_core_4,To do / make,Faire,Doen / maken
verb_core_5,To say,Dire,Zeggen
verb_core_6,To want,Vouloir,Willen
verb_core_7,To can / be able to,Pouvoir,Kunnen
verb_core_8,To must / have to,Devoir,Moeten
verb_core_9,To come,Venir,Komen
verb_core_10,To take,Prendre,Nemen
verb_core_11,To put,Mettre,Zetten / leggen
verb_core_12,To see,Voir,Zien
verb_core_13,To know (a fact),Savoir,Weten
verb_core_14,To know (someone / place),Connaître,Kennen
verb_core_15,To think,Penser,Denken
verb_core_16,To like,Aimer bien,Leuk vinden
verb_core_17,To love,Aimer,Houden van
verb_core_18,To give,Donner,Geven
verb_core_19,To find,Trouver,Vinden
verb_core_20,To ask,Demander,Vragen
connectors_1,And,Et,En
connectors_2,Or,Ou,Of
connectors_3,But,Mais,Maar
connectors_4,Because,Parce que,Omdat
connectors_5,So,Alors,Dus
connectors_6,Also,Aussi,Ook
connectors_7,Very,Très,Erg / heel
connectors_8,Too (too much),Trop,Te (veel)
connectors_9,More,Plus,Meer
connectors_10,Less,Moins,Minder
connectors_11,Here,Ici,Hier
connectors_12,There,Là,Daar
connectors_13,Today,Aujourd'hui,Vandaag
connectors_14,Tomorrow,Demain,Morgen
connectors_15,Yesterday,Hier,Gisteren
connectors_16,Before,Avant,Voor
connectors_17,After,Après,Na
connectors_18,Now,Maintenant,Nu
connectors_19,Soon,Bientôt,Binnenkort
connectors_20,Always,Toujours,Altijd
connectors_21,Often,Souvent,Vaak
connectors_22,Sometimes,Parfois,Soms
connectors_23,Never,Jamais,Nooit
connectors_24,Maybe,Peut-être,Misschien
connectors_25,Of course,Bien sûr,Natuurlijk
number_0,Zero,Zéro,Nul
number_1,One,Un,Één
number_2,Two,Deux,Twee
number_3,Three,Trois,Drie
number_4,Four,Quatre,Vier
number_5,Five,Cinq,Vijf
number_6,Six,Six,Zes
number_7,Seven,Sept,Zeven
number_8,Eight,Huit,Acht
number_9,Nine,Neuf,Negen
number_10,Ten,Dix,Tien
number_11,Eleven,Onze,Elf
number_12,Twelve,Douze,Twaalf
number_13,Thirteen,Treize,Dertien
number_14,Fourteen,Quatorze,Veertien
number_15,Fifteen,Quinze,Vijftien
number_16,Sixteen,Seize,Zestien
number_17,Seventeen,Dix-sept,Zeventien
number_18,Eighteen,Dix-huit,Achttien
number_19,Nineteen,Dix-neuf,Negentien
number_20,Twenty,Vingt,Twintig
number_21,Twenty-one,Vingt et un,Eenentwintig
number_22,Twenty-two,Vingt-deux,Tweeëntwintig
number_23,Twenty-three,Vingt-trois,Drieëntwintig
number_24,Twenty-four,Vingt-quatre,Vierentwintig
number_25,Twenty-five,Vingt-cinq,Vijfentwintig
number_26,Twenty-six,Vingt-six,Zesentwintig
number_27,Twenty-seven,Vingt-sept,Zevenentwintig
number_28,Twenty-eight,Vingt-huit,Achtentwintig
number_29,Twenty-nine,Vingt-neuf,Negenentwintig
number_30,Thirty,Trente,Dertig
number_31,Thirty-one,Trente et un,Eenendertig
number_32,Thirty-two,Trente-deux,Tweeëndertig
number_33,Thirty-three,Trente-trois,Drieëndertig
number_34,Thirty-four,Trente-quatre,Vierendertig
number_35,Thirty-five,Trente-cinq,Vijfendertig
number_36,Thirty-six,Trente-six,Zesendertig
number_37,Thirty-seven,Trente-sept,Zevenendertig
number_38,Thirty-eight,Trente-huit,Achtendertig
number_39,Thirty-nine,Trente-neuf,Negenendertig
number_40,Forty,Quarante,Veertig
number_41,Forty-one,Quarante et un,Eenenveertig
number_42,Forty-two,Quarante-deux,Tweeënveertig
number_43,Forty-three,Quarante-trois,Drieënveertig
number_44,Forty-four,Quarante-quatre,Vierenveertig
number_45,Forty-five,Quarante-cinq,Vijfenveertig
number_46,Forty-six,Quarante-six,Zesenveertig
number_47,Forty-seven,Quarante-sept,Zevenenveertig
number_48,Forty-eight,Quarante-huit,Achtenveertig
number_49,Forty-nine,Quarante-neuf,Negenenveertig
number_50,Fifty,Cinquante,Vijftig
number_51,Fifty-one,Cinquante et un,Eenenvijftig
number_52,Fifty-two,Cinquante-deux,Tweeënvijftig
number_53,Fifty-three,Cinquante-trois,Drieënvijftig
number_54,Fifty-four,Cinquante-quatre,Vierenvijftig
number_55,Fifty-five,Cinquante-cinq,Vijfenvijftig
number_56,Fifty-six,Cinquante-six,Zesenvijftig
number_57,Fifty-seven,Cinquante-sept,Zevenenvijftig
number_58,Fifty-eight,Cinquante-huit,Achtenvijftig
number_59,Fifty-nine,Cinquante-neuf,Negenenvijftig
number_60,Sixty,Soixante,Zestig
number_61,Sixty-one,Soixante et un,Eenenzestig
number_62,Sixty-two,Soixante-deux,Tweeënzestig
number_63,Sixty-three,Soixante-trois,Drieënzestig
number_64,Sixty-four,Soixante-quatre,Vierenzestig
number_65,Sixty-five,Soixante-cinq,Vijfenzestig
number_66,Sixty-six,Soixante-six,Zesenzestig
number_67,Sixty-seven,Soixante-sept,Zevenenzestig
number_68,Sixty-eight,Soixante-huit,Achtenzestig
number_69,Sixty-nine,Soixante-neuf,Negenenzestig
number_70,Seventy,Soixante-dix,Zeventig
number_71,Seventy-one,Soixante et onze,Eenenzeventig
number_72,Seventy-two,Soixante-douze,Tweeënzeventig
number_73,Seventy-three,Soixante-treize,Drieënzeventig
number_74,Seventy-four,Soixante-quatorze,Vierenzeventig
number_75,Seventy-five,Soixante-quinze,Vijfenzeventig
number_76,Seventy-six,Soixante-seize,Zesenzeventig
number_77,Seventy-seven,Soixante-dix-sept,Zevenenzeventig
number_78,Seventy-eight,Soixante-dix-huit,Achtenzeventig
number_79,Seventy-nine,Soixante-dix-neuf,Negenenzeventig
number_80,Eighty,Quatre-vingts,Tachtig
number_81,Eighty-one,Quatre-vingt-un,Eenentachtig
number_82,Eighty-two,Quatre-vingt-deux,Tweeëntachtig
number_83,Eighty-three,Quatre-vingt-trois,Drieëntachtig
number_84,Eighty-four,Quatre-vingt-quatre,Vierentachtig
number_85,Eighty-five,Quatre-vingt-cinq,Vijfentachtig
number_86,Eighty-six,Quatre-vingt-six,Zesentachtig
number_87,Eighty-seven,Quatre-vingt-sept,Zevenentachtig
number_88,Eighty-eight,Quatre-vingt-huit,Achtentachtig
number_89,Eighty-nine,Quatre-vingt-neuf,Negenentachtig
number_90,Ninety,Quatre-vingt-dix,Negentig
number_91,Ninety-one,Quatre-vingt-onze,Eenennegentig
number_92,Ninety-two,Quatre-vingt-douze,Tweeënnegentig
number_93,Ninety-three,Quatre-vingt-treize,Drieënnegentig
number_94,Ninety-four,Quatre-vingt-quatorze,Vierennegentig
number_95,Ninety-five,Quatre-vingt-quinze,Vijfennegentig
number_96,Ninety-six,Quatre-vingt-seize,Zesennegentig
number_97,Ninety-seven,Quatre-vingt-dix-sept,Zevenennegentig
number_98,Ninety-eight,Quatre-vingt-dix-huit,Achtennegentig
number_99,Ninety-nine,Quatre-vingt-dix-neuf,Negenennegentig
number_100,One hundred,Cent,Honderd
number_101,One hundred and one,Cent un,Honderdéén
number_200,Two hundred,Deux cents,Tweehonderd
number_500,Five hundred,Cinq cents,Vijfhonderd
number_1000,One thousand,Mille,Duizend
day_1,Monday,Lundi,Maandag
day_2,Tuesday,Mardi,Dinsdag
day_3,Wednesday,Mercredi,Woensdag
day_4,Thursday,Jeudi,Donderdag
day_5,Friday,Vendredi,Vrijdag
day_6,Saturday,Samedi,Zaterdag
day_7,Sunday,Dimanche,Zondag
month_1,January,Janvier,Januari
month_2,February,Février,Februari
month_3,March,Mars,Maart
month_4,April,Avril,April
month_5,May,Mai,Mei
month_6,June,Juin,Juni
month_7,July,Juillet,Juli
month_8,August,Août,Augustus
month_9,September,Septembre,September
month_10,October,Octobre,Oktober
month_11,November,Novembre,November
month_12,December,Décembre,December
time_word_1,Hour,L'Heure,Het uur
time_word_2,Minute,La Minute,De minuut
time_word_3,Second,La Seconde,De seconde
time_word_4,Morning,Le Matin,De ochtend
time_word_5,Afternoon,L'Après-midi,De middag
time_word_6,Evening,Le Soir,De avond
time_word_7,Night,La Nuit,De nacht
time_word_8,Weekend,Le Week-end,Het weekend
time_word_9,Week,La Semaine,De week
time_word_10,Year,L'Année,Het jaar
time_phrase_1,What time is it?,Il est quelle heure ?,Hoe laat is het?
time_phrase_2,It is one o'clock,Il est une heure,Het is één uur
time_phrase_3,It is two o'clock,Il est deux heures,Het is twee uur
time_phrase_4,It is half past three,Il est trois heures et demie,Het is halfvier
time_phrase_5,It is quarter past four,Il est quatre heures et quart,Het is kwart over vier
time_phrase_6,It is quarter to five,Il est cinq heures moins le quart,Het is kwart voor vijf
time_phrase_7,In the morning,Le matin,In de ochtend
time_phrase_8,In the evening,Le soir,In de avond
time_phrase_9,Today,Aujourd'hui,Vandaag
time_phrase_10,Tomorrow,Demain,Morgen
time_phrase_11,Yesterday,Hier,Gisteren
time_phrase_12,This week,Cette semaine,Deze week
time_phrase_13,Next week,La semaine prochaine,Volgende week
time_phrase_14,Last week,La semaine dernière,Vorige week
time_phrase_15,This year,Cette année,Dit jaar
time_phrase_16,Next year,L'année prochaine,Volgend jaar
time_phrase_17,Last year,L'année dernière,Vorig jaar
family_1,Family,La famille,De familie
family_2,Father,Le père,De vader
family_3,Mother,La mère,De moeder
family_4,Parents,Les parents,De ouders
family_5,Son,Le fils,De zoon
family_6,Daughter,La fille,De dochter
family_7,Brother,Le frère,De broer
family_8,Sister,La sœur,De zus
family_9,Children,Les enfants,De kinderen
family_10,Baby,Le bébé,De baby
family_11,Husband,Le mari,De echtgenoot / man
family_12,Wife,La femme,De echtgenote / vrouw
family_13,Grandfather,Le grand-père,De opa
family_14,Grandmother,La grand-mère,De oma
family_15,Grandparents,Les grands-parents,De grootouders
family_16,Uncle,L'oncle,De oom
family_17,Aunt,La tante,De tante
family_18,Cousin (m),Le cousin,De neef
family_19,Cousin (f),La cousine,De nicht
family_20,Relative,Le parent,Het familielid
people_1,Friend,L'ami,De vriend
people_2,Friend (female),L'amie,De vriendin
people_3,Neighbor,Le voisin,De buurman
people_4,Colleague,Le collègue,De collega
people_5,Boss,Le patron,De baas
people_6,Teacher,Le professeur,De leraar
people_7,Student,L'étudiant,De student
people_8,Man,L'homme,De man
people_9,Woman,La femme,De vrouw
people_10,Person,La personne,De persoon
people_11,People,Les gens,De mensen
people_12,Guest,L'invité,De gast
people_13,Stranger,L'inconnu,De onbekende
people_14,Group,Le groupe,De groep
people_15,Child,L'enfant,Het kind
people_16,Teenager,L'adolescent,De tiener
people_17,Adult,L'adulte,De volwassene
people_18,Elderly person,La personne âgée,De oudere
people_19,Couple,Le couple,Het koppel
people_20,Family member,Un membre de la famille,Een familielid
adjective_appearance_1,Tall,Grand,Lang
adjective_appearance_2,Short,Petit,Klein
adjective_appearance_3,Young,Jeune,Jong
adjective_appearance_4,Old,Vieux,Oud
adjective_appearance_5,Beautiful,Belle / Beau,Mooie
adjective_appearance_6,Ugly,Moche,Lelijk
adjective_appearance_7,Thin,Mince,Dun / slank
adjective_appearance_8,Fat,Gros,Dik
adjective_appearance_9,Strong,Fort,Sterk
adjective_appearance_10,Weak,Faible,Zwak
adjective_appearance_11,Clean,Propre,Schoon
adjective_appearance_12,Dirty,Sale,Vies
adjective_appearance_13,Healthy,En bonne santé,Gezond
adjective_appearance_14,Sick,Malade,Ziek
adjective_appearance_15,Handsome (man),Beau,Knap
adjective_personality_1,Nice,Gentil,Lief
adjective_personality_2,Kind,Sympa,Aardig
adjective_personality_3,Friendly,Aimable,Vriendelijk
adjective_personality_4,Funny,Drôle,Grapig
adjective_personality_5,Serious,Sérieux,Serieus
adjective_personality_6,Smart,Intelligent,Intelligent
adjective_personality_7,Shy,Timide,Verlegen
adjective_personality_8,Lazy,Paresseux,Lui
adjective_personality_9,Hardworking,Travailleur,Hardwerkend
adjective_personality_10,Honest,Honnête,Eerlijk
adjective_personality_11,Polite,Poli,Beleefd
adjective_personality_12,Rude,Impoli,Onbeleefd
adjective_personality_13,Brave,Courageux,Moedig
adjective_personality_14,Worried,Inquiet,Bezorgd
adjective_personality_15,Calm,Calme,Kalm
adjective_emotion_1,Happy,Heureux,Blij
adjective_emotion_2,Sad,Triste,Verdrietig
adjective_emotion_3,Angry,Fâché,Boos
adjective_emotion_4,Tired,Fatigué,Moe
adjective_emotion_5,Excited,Excité,Enthousiast
adjective_emotion_6,Nervous,Nerveux,Zenuwachtig
adjective_emotion_7,Relaxed,Détendu,Ontspannen
adjective_emotion_8,Afraid,Avoir peur,Bang
adjective_emotion_9,Bored,Ennuyé,Vervelend
adjective_emotion_10,Surprised,Surpris,Verrast
home_1,House,La maison,Het huis
home_2,Apartment,L'appartement,Het appartement
home_3,Room,La pièce,De kamer
home_4,Living room,Le salon,De woonkamer
home_5,Bedroom,La chambre,De slaapkamer
home_6,Kitchen,La cuisine,De keuken
home_7,Bathroom,La salle de bain,De badkamer
home_8,Toilet,Les toilettes,Het toilet
home_9,Hallway,Le couloir,De gang
home_10,Balcony,Le balcon,Het balkon
furniture_1,Bed,Le lit,Het bed
furniture_2,Sofa,Le canapé,De bank
furniture_3,Table,La table,De tafel
furniture_4,Chair,La chaise,De stoel
furniture_5,Desk,Le bureau,Het bureau
furniture_6,Closet,Le placard,De kast
furniture_7,Dresser,La commode,De ladekast
furniture_8,Bookshelf,La bibliothèque,De boekenkast
furniture_9,Carpet,Le tapis,Het tapijt
furniture_10,Mirror,Le miroir,De spiegel
household_1,Light,La lumière,Het licht
household_2,Lamp,La lampe,De lamp
household_3,Window,La fenêtre,Het raam
household_4,Door,La porte,De deur
household_5,Key,La clé,De sleutel
household_6,Fridge,Le frigo,De koelkast
household_7,Oven,Le four,De oven
household_8,Stove,La cuisinière,Het fornuis
household_9,Sink,L'évier,De gootsteen
household_10,Washing machine,La machine à laver,De wasmachine
household_11,Trash bin,La poubelle,De prullenbak
household_12,TV,La télé,De tv
household_13,Remote control,La télécommande,De afstandsbediening
household_14,Heater,Le chauffage,De verwarming
household_15,Fan,Le ventilateur,De ventilator
kitchen_1,Knife,Le couteau,Het mes
kitchen_2,Fork,La fourchette,De vork
kitchen_3,Spoon,La cuillère,De lepel
kitchen_4,Plate,L'assiette,Het bord
kitchen_5,Bowl,Le bol,De kom
kitchen_6,Cup,La tasse,Het kopje
kitchen_7,Glass,Le verre,Het glas
kitchen_8,Pan,La poêle,De pan
kitchen_9,Pot,La casserole,De pot
kitchen_10,Fridge,Le réfrigérateur,De koelkast
bathroom_1,Shower,La douche,De douche
bathroom_2,Bath,Le bain,Het bad
bathroom_3,Soap,Le savon,De zeep
bathroom_4,Shampoo,Le shampooing,De shampoo
bathroom_5,Towel,La serviette,De handdoek
bathroom_6,Toothbrush,La brosse à dents,De tandenborstel
bathroom_7,Toothpaste,Le dentifrice,De tandpasta
bathroom_8,Toilet paper,Le papier toilette,Het wc-papier
bathroom_9,Mirror,Le miroir,De spiegel
bathroom_10,Hairdryer,Le sèche-cheveux,De haardroger
daily_routine_1,To wake up,Se réveiller,Opstaan
daily_routine_2,To get up,Se lever,Opstaan
daily_routine_3,To take a shower,Prendre une douche,Douchen
daily_routine_4,To brush teeth,Se brosser les dents,Tanden poetsen
daily_routine_5,To get dressed,S'habiller,Aankleden
daily_routine_6,To have breakfast,Prendre le petit-déjeuner,Ontbijten
daily_routine_7,To go to work,Aller au travail,Naar werk gaan
daily_routine_8,To go to school,Aller à l'école,Naar school gaan
daily_routine_9,To study,Étudier,Studeren
daily_routine_10,To clean,Nettoyer,Schoonmaken
daily_routine_11,To cook,Cuisiner,Koken
daily_routine_12,To wash dishes,Faire la vaisselle,Afwassen
daily_routine_13,To do laundry,Faire la lessive,De was doen
daily_routine_14,To rest,Se reposer,Rusten
daily_routine_15,To go to bed,Aller au lit,Naar bed gaan
daily_phrase_1,I am at home,Je suis à la maison,Ik ben thuis
daily_phrase_2,I am in the kitchen,Je suis dans la cuisine,Ik ben in de keuken
daily_phrase_3,Close the door,Ferme la porte,Sluit de deur
daily_phrase_4,Open the window,Ouvre la fenêtre,Open het raam
daily_phrase_5,Turn on the light,Allume la lumière,Doe het licht aan
daily_phrase_6,Turn off the light,Éteins la lumière,Doe het licht uit
daily_phrase_7,The house is clean,La maison est propre,Het huis is schoon
daily_phrase_8,The house is dirty,La maison est sale,Het huis is vies
daily_phrase_9,I need to cook,Je dois cuisiner,Ik moet koken
daily_phrase_10,We are eating,Nous mangeons,Wij eten
food_1,Bread,Le pain,Het brood
food_2,Water,L'eau,Het water
food_3,Milk,Le lait,De melk
food_4,Cheese,Le fromage,De kaas
food_5,Butter,Le beurre,De boter
food_6,Yogurt,Le yaourt,De yoghurt
food_7,Rice,Le riz,De rijst
food_8,Pasta,Les pâtes,De pasta
food_9,Egg,Un œuf,Het ei
food_10,Chicken,Le poulet,De kip
food_11,Beef,Le bœuf,Het rundvlees
food_12,Pork,Le porc,Het varkensvlees
food_13,Fish,Le poisson,De vis
food_14,Vegetable,Le légume,De groente
food_15,Fruit,Le fruit,Het fruit
food_16,Apple,La pomme,De appel
food_17,Banana,La banane,De banaan
food_18,Orange,L'orange,De sinaasappel
food_19,Grape,Le raisin,De druif
food_20,Strawberry,La fraise,De aardbei
food_21,Carrot,La carotte,De wortel
food_22,Potato,La pomme de terre,De aardappel
food_23,Onion,L'oignon,De ui
food_24,Garlic,L'ail,De knoflook
food_25,Tomato,La tomate,De tomaat
food_26,Broccoli,Le brocoli,De broccoli
food_27,Spinach,Les épinards,De spinazie
food_28,Cucumber,Le concombre,De komkommer
food_29,Pepper (bell),Le poivron,De paprika
food_30,Mushroom,Le champignon,De champignon
food_31,Salt,Le sel,Het zout
food_32,Pepper,Le poivre,De peper
food_33,Sugar,Le sucre,De suiker
food_34,Oil,L'huile,De olie
food_35,Vinegar,Le vinaigre,De azijn
food_36,Flour,La farine,Het meel
food_37,Sauce,La sauce,De saus
food_38,Soup,La soupe,De soep
food_39,Salad,La salade,De salade
food_40,Dessert,Le dessert,Het dessert
drink_1,Tea,Le thé,De thee
drink_2,Coffee,Le café,De koffie
drink_3,Juice,Le jus,Het sap
drink_4,Beer,La bière,Het bier
drink_5,Wine,Le vin,De wijn
drink_6,Sparkling water,L'eau gazeuse,Het bruiswater
drink_7,Still water,L'eau plate,Het plat water
drink_8,Milkshake,Le milk-shake,De milkshake
drink_9,Lemonade,La limonade,De limonade
drink_10,Hot chocolate,Le chocolat chaud,De warme chocolademelk
grocery_1,Supermarket,Le supermarché,De supermarkt
grocery_2,Market,Le marché,De markt
grocery_3,Bakery,La boulangerie,De bakkerij
grocery_4,Butcher,La boucherie,De slagerij
grocery_5,Fish shop,La poissonnerie,De viswinkel
grocery_6,Vegetable shop,Le primeur,De groentewinkel
grocery_7,Shopping cart,Le chariot,Het winkelwagentje
grocery_8,Bag,Le sac,De tas
grocery_9,Price,Le prix,De prijs
grocery_10,Sale,La promotion,De aanbieding
cooking_1,To cook,Cuisiner,Koken
cooking_2,To boil,Bouillir,Koken
cooking_3,To fry,Frire,Bakken
cooking_4,To bake,Cuire au four,In de oven bakken
cooking_5,To cut,Couper,Snijden
cooking_6,To mix,Mélanger,Mengen
cooking_7,To taste,Goûter,Proeven
cooking_8,To season,Assaisonner,Kruiden
cooking_9,To wash,Laver,Wassen
cooking_10,To heat up,Chauffer,Verwarmen
restaurant_1,Restaurant,Le restaurant,Het restaurant
restaurant_2,Menu,Le menu,Het menu
restaurant_3,Waiter,Le serveur,De ober
restaurant_4,Waitress,La serveuse,De serveerster
restaurant_5,Reservation,La réservation,De reservering
restaurant_6,Table,La table,De tafel
restaurant_7,Drink,La boisson,Het drankje
restaurant_8,Meal,Le repas,De maaltijd
restaurant_9,Bill,La facture,De rekening
restaurant_10,Tip,Le pourboire,De fooi
restaurant_phrase_1,I would like…,Je voudrais…,Ik wil graag…
restaurant_phrase_2,Can I order?,Je peux commander ?,Kan ik bestellen?
restaurant_phrase_3,Do you have…?,Avez-vous… ?,Heeft u…?
restaurant_phrase_4,What do you recommend?,Que recommandez-vous ?,Wat raadt u aan?
restaurant_phrase_5,Water without ice,De l'eau sans glace,Water zonder ijs
restaurant_phrase_6,For here or to go?,Sur place ou à emporter ?,Hier of meenemen?
restaurant_phrase_7,The food is delicious,La nourriture est délicieuse,Het eten is lekker
restaurant_phrase_8,Can I pay?,Je peux payer ?,Kan ik betalen?
restaurant_phrase_9,Separate bill please,L'addition séparée s'il vous plaît,Gesplitste rekening aub
restaurant_phrase_10,Thank you for the meal,Merci pour le repas,Bedankt voor het eten
city_1,City,La ville,De stad
city_2,Street,La rue,De straat
city_3,Road,La route,De weg
city_4,Square,La place,Het plein
city_5,Park,Le parc,Het park
city_6,Bridge,Le pont,De brug
city_7,Shop,Le magasin,De winkel
city_8,Supermarket,Le supermarché,De supermarkt
city_9,Bakery,La boulangerie,De bakkerij
city_10,Café,Le café,Het café
city_11,Restaurant,Le restaurant,Het restaurant
city_12,Hospital,L'hôpital,Het ziekenhuis
city_13,Pharmacy,La pharmacie,De apotheek
city_14,School,L'école,De school
city_15,University,La université,De universiteit
city_16,Bank,La banque,De bank
city_17,Post office,La poste,Het postkantoor
city_18,Museum,Le musée,Het museum
city_19,Hotel,L'hôtel,Het hotel
city_20,Station,La gare,Het station
transport_1,Car,La voiture,De auto
transport_2,Bike,Le vélo,De fiets
transport_3,Bus,Le bus,De bus
transport_4,Train,Le train,De trein
transport_5,Tram,Le tram,De tram
transport_6,Metro,Le métro,De metro
transport_7,Taxi,Le taxi,De taxi
transport_8,Plane,L'avion,Het vliegtuig
transport_9,Boat,Le bateau,De boot
transport_10,Ticket,Le billet,Het ticket
transport_11,Bus stop,L'arrêt de bus,De bushalte
transport_12,Train station,La gare,Het treinstation
transport_13,Airport,L'aéroport,De luchthaven
transport_14,Platform,Le quai,Het perron
transport_15,Line (metro),La ligne,De lijn
transport_16,Map,Le plan,De kaart
transport_17,Schedule,L'horaire,De dienstregeling
transport_18,Traffic,La circulation,Het verkeer
transport_19,Parking,Le parking,De parking
transport_20,Helmet,Le casque,De helm
directions_1,Left,Gauche,Links
directions_2,Right,Droite,Rechts
directions_3,Straight ahead,Tout droit,Rechtdoor
directions_4,Behind,Derrière,Achter
directions_5,In front of,Devant,Vóór
directions_6,Near,Près de,Dicht bij
directions_7,Far,Loin de,Ver van
directions_8,Next to,À côté de,Naast
directions_9,Across from,En face de,Tegenover
directions_10,At the corner,Au coin,Op de hoek
travel_1,Passport,Le passeport,Het paspoort
travel_2,Luggage,Les bagages,De bagage
travel_3,Bag,Le sac,De tas
travel_4,Reservation,La réservation,De reservering
travel_5,Check-in,Enregistrement,Inchecken
travel_6,Boarding,Embarquement,Boarding
travel_7,Seat,Le siège,De stoel
travel_8,Gate,La porte d'embarquement,De gate
travel_9,Flight,Le vol,De vlucht
travel_10,Delay,Le retard,De vertraging
travel_phrase_1,Where is the station?,Où est la gare ?,Waar is het station?
travel_phrase_2,Where is the bus stop?,Où est l'arrêt de bus ?,Waar is de bushalte?
travel_phrase_3,I need a ticket,Il me faut un billet,Ik heb een ticket nodig
travel_phrase_4,Which direction?,Dans quelle direction ?,Welke richting?
travel_phrase_5,How long does it take?,Ça prend combien de temps ?,Hoe lang duurt het?
travel_phrase_6,Is it far?,C'est loin ?,Is het ver?
travel_phrase_7,I am lost,Je suis perdu,Ik ben verdwaald
travel_phrase_8,Can you help me?,Vous pouvez m'aider ?,Kunt u me helpen?
travel_phrase_9,Can you show me on the map?,Vous pouvez me montrer sur la carte ?,Kunt u het op de kaart aanwijzen?
travel_phrase_10,At what time does it leave?,Ça part à quelle heure ?,Hoe laat vertrekt het?
hotel_1,Hotel,L'hôtel,Het hotel
hotel_2,Room,La chambre,De kamer
hotel_3,Bed,Le lit,Het bed
hotel_4,Bathroom,La salle de bain,De badkamer
hotel_5,Reception,La réception,De receptie
hotel_6,Key card,La clé magnétique,De pas
hotel_7,Booking,La réservation,De boeking
hotel_8,Night,La nuit,De nacht
hotel_9,Breakfast,Le petit-déjeuner,Het ontbijt
hotel_10,Check-out,Départ,Uitchecken
hotel_phrase_1,Do you have a room?,Vous avez une chambre ?,Heeft u een kamer?
hotel_phrase_2,I have a reservation,J'ai une réservation,Ik heb een reservering
hotel_phrase_3,How much per night?,C'est combien par nuit ?,Hoeveel per nacht?
hotel_phrase_4,For two people,Pour deux personnes,Voor twee personen
hotel_phrase_5,I need towels,Il me faut des serviettes,Ik heb handdoeken nodig
hotel_phrase_6,The wifi password?,Le mot de passe du wifi ?,Het wifi-wachtwoord?
hotel_phrase_7,Hot water doesn't work,L'eau chaude ne marche pas,Het warme water werkt niet
hotel_phrase_8,Can I change rooms?,Je peux changer de chambre ?,Kan ik van kamer wisselen?
hotel_phrase_9,What time is breakfast?,Le petit-déjeuner est à quelle heure ?,Hoe laat is het ontbijt?
hotel_phrase_10,I am checking out,Je fais le check-out,Ik check uit
nature_1,Nature,La nature,De natuur
nature_2,Tree,L'arbre,De boom
nature_3,Forest,La forêt,Het bos
nature_4,Flower,La fleur,De bloem
nature_5,Grass,Le gazon,Het gras
nature_6,Plant,La plante,De plant
